NC_016795.1 BRUAO chr1 c
NC_016777.1 BRUAO chr2 c
NC_016778.1 BRUCA chr1 c
NC_016796.1 BRUCA chr2 c
NC_017244.1 BRUMM chr1 c
NC_017245.1 BRUMM chr2 c
NC_017246.1 BRUM5 chr1 c
NC_017247.1 BRUM5 chr2 c
NC_017248.1 BRUML chr1 c
NC_017283.1 BRUML chr2 c
NC_015857.1 BRUPB chr1 c
NC_015858.1 BRUPB chr2 c
NC_016797.1 BRUSS chr1 c
NC_016775.1 BRUSS chr2 c
AE017223 BRUAB chr1 c
AE017224 BRUAB chr2 c
CP000887 BRUA1 chr1 c
CP000888 BRUA1 chr2 c
AM040264 BRUA2 chr1 c
AM040265 BRUA2 chr2 c
CP000872 BRUC2 chr1 c
CP000873 BRUC2 chr2 c
CP001488 BRUMB chr1 c
CP001489 BRUMB chr2 c
AE008917 BRUME chr1 c
AE008918 BRUME chr2 c
CP001578 BRUMC chr1 c
CP001579 BRUMC chr2 c
CP000708 BRUO2 chr1 c
CP000709 BRUO2 chr2 c
AE014291 BRUSU chr1 c
AE014292 BRUSU chr2 c
CP000911 BRUSI chr1 c
CP000912 BRUSI chr2 c

